name,equipment,primary_muscle,secondary_muscle,video,thumbnail
"Dumbbell Seated Shoulder Press","Dumbbell","deltoid_anterior","deltoid_lateral, chest_clavicular_head, serratus_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/04051201-Dumbbell-Seated-Shoulder-Press_Shoulders-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders_small.png"
"Barbell Standing Military Press","Barbell","deltoid_anterior","deltoid_lateral, chest_clavicular_head, serratus_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/11651201-Barbell-Standing-Military-Press-(without-rack)_Shoulders_without-weight.mp4","https://apilyfta.com/static/GymvisualPNG/11651101-Barbell-Standing-Military-Press-(without-rack)_Shoulders-FIX_small.png"
"Cable Low Fly","Cable","chest_clavicular_head","biceps, deltoid_anterior","https://apilyfta.com/static/GymvisualMP4/01791201-Cable-Low-Fly_Chest-FIX2_.mp4","https://apilyfta.com/static/GymvisualPNG/01791101-Cable-Low-Fly_Chest-FIX_small.png"
"Front Plank","Body weight","rectus_abdominis","deltoid_anterior, gluteus_maximus, obliques, sartorius, tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/04631201-Front-Plank-m_waist.mp4","https://apilyfta.com/static/GymvisualPNG/04631101-Front-Plank_waist-FIX_small.png"
"Lever Lateral Raise","Leverage machine","deltoid_lateral","deltoid_anterior, serratus_anterior","https://apilyfta.com/static/GymvisualMP4/05841201-Lever-Lateral-Raise_shoulder.mp4","https://apilyfta.com/static/GymvisualPNG/05841101-Lever-Lateral-Raise_shoulder_small.png"
"Lever Seated Hip Adduction","Leverage machine","hip_adductors",,"https://apilyfta.com/static/GymvisualMP4/36121201-Lever-Seated-Hip-Adduction-(female)_Thighs.mp4","https://apilyfta.com/static/GymvisualPNG/36121101-Lever-Seated-Hip-Adduction-(female)_Thighs_small.png"
"Cable Curl","Cable","biceps","brachialis, brachioradialis","https://apilyfta.com/static/GymvisualMP4/08681201-Cable-Curl-(male)_Upper-Arms-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/08681101-Cable-Curl-(male)_Upper-Arms-FIX_small.png"
"Sled 45° Leg Press","Sled machine","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/07391201-Sled-45-degrees-Leg-Press_Hips-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/07391101-Sled-45-Leg-Press_Hips_small.png"
"Sled Hack Squat","Sled machine","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/23841201-Sled-Hack-Squat-(female)_Thighs.mp4","https://apilyfta.com/static/GymvisualPNG/23841101-Sled-Hack-Squat-(female)_Thighs_small.png"
"Dumbbell Incline Biceps Curl","Dumbbell","biceps","brachialis, brachioradialis","https://apilyfta.com/static/GymvisualMP4/03151201-Dumbbell-Incline-Biceps-Curl_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/03151101-Dumbbell-Incline-Biceps-Curl_Upper-Arms_small.png"
"Romanian Deadlift","Barbell","hamstrings","hamstrings, quadriceps, soleus, gluteus_maximus","https://apilyfta.com/static/GymvisualMP4/00851201-Barbell-Romanian-Deadlift_Hips_.mp4","https://apilyfta.com/static/GymvisualPNG/00851101-Barbell-Romanian-Deadlift_Hips_small.png"
"Walking on Treadmill","Leverage machine","gastrocnemius, hamstrings, quadriceps, sartorius, soleus",,"https://apilyfta.com/static/GymvisualMP4/22591201-Walking-on-Treadmill_Cardio.mp4","https://apilyfta.com/static/GymvisualPNG/22591101-Walking-on-Treadmill_Cardio_small.png"
"Lever Seated Dip","Leverage machine","triceps","deltoid_anterior, latissimus_dorsi, chest_clavicular_head","https://apilyfta.com/static/GymvisualMP4/14511201-Lever-Seated-Dip_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/14511101-Lever-Seated-Dip_Upper-Arms_small.png"
"Cross Body Hammer Curl","Dumbbell","brachioradialis","biceps, brachialis","https://apilyfta.com/static/GymvisualMP4/16571201-Dumbbell-Cross-Body-Hammer-Curl-(Version-2)_Upper-Arms-FIX.mp4","https://apilyfta.com/static/GymvisualPNG/16571101-Dumbbell-Cross-Body-Hammer-Curl-(Version-2)_Upper-Arms_small.png"
"Dumbbell Shrug","Dumbbell","trapezius","trapezius","https://apilyfta.com/static/GymvisualMP4/04061201-Dumbbell-Shrug_Back.mp4","https://apilyfta.com/static/GymvisualPNG/04061101-Dumbbell-Shrug_Back-FIX_small.png"
"Fly","Dumbbell","chest_clavicular_head","biceps, deltoid_anterior","https://apilyfta.com/static/GymvisualMP4/03081201-Dumbbell-Fly_Chest-FIX2_.mp4","https://apilyfta.com/static/GymvisualPNG/03081101-Dumbbell-Fly_Chest-FIX_small.png"
"Assisted Pull-up","Leverage machine","latissimus_dorsi","brachialis, brachioradialis, deltoids, infraspinatus, teres_major, teres_minor, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/00171201-Assisted-Pull-up_Back.mp4","https://apilyfta.com/static/GymvisualPNG/00171101-Assisted-Pull-up_Back_small.png"
"Dumbbell Preacher Curl","Dumbbell","biceps, brachialis","brachialis, brachioradialis","https://apilyfta.com/static/GymvisualMP4/03721201-Dumbbell-Preacher-Curl_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/03721101-Dumbbell-Preacher-Curl_Upper-Arms_small.png"
"Cable Standing One Arm Tricep Pushdown","Cable","triceps",,"https://apilyfta.com/static/GymvisualMP4/12271201-Cable-Standing-One-Arm-Tricep-Pushdown-(Overhand-G.mp4","https://apilyfta.com/static/GymvisualPNG/12271101-Cable-Standing-One-Arm-Tricep-Pushdown-(Overhand-Grip)_Upper-Arms_small.png"
"Cable Standing Rear Delt Row","Cable","deltoids","brachialis, brachioradialis, deltoid_lateral, infraspinatus, teres_minor, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/02331201-Cable-Standing-Rear-Delt-Row-(with-rope)_Shoulder_.mp4","https://apilyfta.com/static/GymvisualPNG/02331101-Cable-Standing-Rear-Delt-Row-(with-rope)_shoulder_small.png"
"Walking on Incline Treadmill","Leverage machine","gluteus_maximus, quadriceps, gastrocnemius","hamstrings, soleus","https://apilyfta.com/static/GymvisualMP4/36661201-Walking-on-Incline-Treadmill_Cardio_.mp4","https://apilyfta.com/static/GymvisualPNG/36661101-Walking-on-Incline-Treadmill_Cardio_small.png"
"Barbell Bent Over Row","Barbell","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/00271201-Barbell-Bent-Over-Row_Back_.mp4","https://apilyfta.com/static/GymvisualPNG/00271101-Barbell-Bent-Over-Row_Back-FIX_small.png"
"Standing Triceps Extension","Dumbbell","triceps",,"https://apilyfta.com/static/GymvisualMP4/04301201-Dumbbell-Standing-Triceps-Extension_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/04301101-Dumbbell-Standing-Triceps-Extension_Upper-Arms_small.png"
"Cable Standing Face Pull (with rope)","Cable","deltoids","brachialis, brachioradialis, deltoid_lateral, infraspinatus, teres_minor, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/56561201-Cable-Standing-Face-Pull-(with-rope)_Shoulders.mp4","https://apilyfta.com/static/GymvisualPNG/56561101-Cable-Standing-Face-Pull-(with-rope)_Shoulders_small.png"
"Seated Bench Extension","Dumbbell","triceps",,"https://apilyfta.com/static/GymvisualMP4/03891201-Dumbbell-Seated-Bench-Extension_Upper-Arms_.mp4","https://apilyfta.com/static/GymvisualPNG/03891101-Dumbbell-Seated-Bench-Extension_Upper-Arms-FIX_small.png"
"Cable Straight Back Seated Row","Cable","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/02391201-Cable-Straight-Back-Seated-Row_Back.mp4","https://apilyfta.com/static/GymvisualPNG/02391101-Cable-Straight-Back-Seated-Row_Back_small.png"
"Lever Seated Leg Press","Leverage machine","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/22671201-Lever-Seated-Leg-Press_Thighs.mp4","https://apilyfta.com/static/GymvisualPNG/22671101-Lever-Seated-Leg-Press_Thighs_small.png"
"Concentration Curl","Dumbbell","brachialis","biceps, brachioradialis","https://apilyfta.com/static/GymvisualMP4/02971201-Dumbbell-Concentration-Curl_Upper-Arms-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/02971101-Dumbbell-Concentration-Curl_Upper-Arms_small.png"
"45 degree hyperextension","Body weight","gluteus_maximus","hamstrings","https://apilyfta.com/static/GymvisualMP4/08771201-45-degree-hyperextension-(arms-in-front-of-chest)_Back.mp4","https://apilyfta.com/static/GymvisualPNG/08771101-45-degree-hyperextension-(arms-in-front-of-chest)_Back_small.png"
"Standing Calf Raise","Dumbbell","gastrocnemius","soleus","https://apilyfta.com/static/GymvisualMP4/04171201-Dumbbell-Standing-Calf-Raise_Calves.mp4","https://apilyfta.com/static/GymvisualPNG/04171101-Dumbbell-Standing-Calf-Raise_Calf_small.png"
"One arm Wrist Curl","Dumbbell","wrist_flexors",,"https://apilyfta.com/static/GymvisualMP4/03641201-Dumbbell-One-arm-Wrist-Curl_Forearm.mp4","https://apilyfta.com/static/GymvisualPNG/03641101-Dumbbell-One-arm-Wrist-Curl_Forearm-SFIX_small.png"
"Triceps Dip","Body weight","triceps","deltoid_anterior, latissimus_dorsi, chest_clavicular_head","https://apilyfta.com/static/GymvisualMP4/08141201-Triceps-Dip_Upper-Arms-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/08141101-Triceps-Dip_Upper-Arms_small.png"
"Low Seated Row","Cable","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/01801201-Cable-Low-Seated-Row_Back.mp4","https://apilyfta.com/static/GymvisualPNG/01801101-Cable-Low-Seated-Row_Back_small.png"
"Smith Calf Raise","Smith machine","gastrocnemius","soleus","https://apilyfta.com/static/GymvisualMP4/11641201-Smith-Calf-Raise-(version-2)_Calves.mp4","https://apilyfta.com/static/GymvisualPNG/11641101-Smith-Calf-Raise-(version-2)_Calves_small.png"
"Wrist Curl","Barbell","wrist_flexors",,"https://apilyfta.com/static/GymvisualMP4/01251201-Barbell-Wrist-Curl-(VERSION-2)_Forearms-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/01251101-Barbell-Wrist-Curl-II_Forearms_small.png"
"Straight Leg Deadlift","Barbell","hamstrings","gluteus_maximus","https://apilyfta.com/static/GymvisualMP4/01161201-Barbell-Straight-Leg-Deadlift_Thighs.mp4","https://apilyfta.com/static/GymvisualPNG/01161101-Barbell-Straight-Leg-Deadlift_Thighs-AFIX_small.png"
"Smith Full Squat","Smith machine","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/32811201-Smith-Full-Squat_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/32811101-Smith-Full-Squat_Thighs_small.png"
"Decline Crunch","Body weight","rectus_abdominis","obliques","https://apilyfta.com/static/GymvisualMP4/02771201-Decline-Crunch_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/02771101-Decline-Crunch_waist_small.png"
"Seated Wide-grip Row","Cable","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/02181201-Cable-Seated-Wide-grip-Row_Back_.mp4","https://apilyfta.com/static/GymvisualPNG/02181101-Cable-Seated-Wide-grip-Row_Back_small.png"
"Incline Fly","Dumbbell","chest_clavicular_head","biceps, deltoid_anterior","https://apilyfta.com/static/GymvisualMP4/03191201-Dumbbell-Incline-Fly_Chest-FIX2_.mp4","https://apilyfta.com/static/GymvisualPNG/03191101-Dumbbell-Incline-Fly_Chest-FIX_small.png"
"Russian Twist","Body weight","obliques","iliopsoas","https://apilyfta.com/static/GymvisualMP4/06871201-Russian-Twist_waist.mp4","https://apilyfta.com/static/GymvisualPNG/06871101-Russian-Twist_waist_small.png"
"Dumbbell One Arm Bent-over Row","Dumbbell","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/02921201-Dumbbell-Bent-over-Row_Back-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/02921101-Dumbbell-Bent-over-Row_back_Back-AFIX_small.png"
"Sled 45 degrees Leg Press","Sled machine","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/22241201-Sled-45-degrees-Leg-Press-(female)_Thighs_.mp4","https://apilyfta.com/static/GymvisualPNG/22241101-Sled-45-degrees-Leg-Press-(female)_Thighs_small.png"
"Dumbbell Bulgarian Split Squat","Dumbbell","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/22901201-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs.mp4","https://apilyfta.com/static/GymvisualPNG/22901101-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs_small.png"
"Cable Standing Reverse Grip Curl","Cable","brachioradialis","biceps, brachialis","https://apilyfta.com/static/GymvisualMP4/29541201-Cable-Standing-Reverse-Grip-Curl-(Straight-bar)_Fo.mp4","https://apilyfta.com/static/GymvisualPNG/29541101-Cable-Standing-Reverse-Grip-Curl-(Straight-bar)_Forearms_small.png"
"Smith Seated Shoulder Press","Smith machine","deltoid_anterior","deltoid_lateral, chest_clavicular_head, serratus_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/07651201-Smith-Seated-Shoulder-Press_Shoulders.mp4","https://apilyfta.com/static/GymvisualPNG/07651101-Smith-Seated-Shoulder-Press_Shoulders_small.png"
"Lever Low Row","Leverage machine","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/42141201-Lever-Low-Row-(plate-loaded)_Back_.mp4","https://apilyfta.com/static/GymvisualPNG/42141101-Lever-Low-Row-(plate-loaded)_Back_small.png"
"Run on Treadmill","Leverage machine","hip_adductors, gastrocnemius, gluteus_maximus, hamstrings, iliopsoas, obliques, quadriceps, sartorius, soleus, tensor_fasciae_femoris",,"https://apilyfta.com/static/GymvisualMP4/21971201-Run-on-Treadmill-(female)_Cardio.mp4","https://apilyfta.com/static/GymvisualPNG/21971101-Run-on-Treadmill-(female)_Cardio_small.png"
"Cable Triceps Pushdown","Cable","triceps",,"https://apilyfta.com/static/GymvisualMP4/02411201-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/02411101-Cable-Triceps-Pushdown-(V-bar-attachment)_Upper-Arms_small.png"
"Cable Overhead Tricep Extension StraighT-bar","Cable","triceps","brachialis, deltoid_anterior, deltoid_lateral, wrist_flexors","https://apilyfta.com/static/GymvisualMP4/41151201-Cable-Overhead-Tricep-Extension-Straight-Bar-(male)_Upper-Arms_.mp4","https://apilyfta.com/static/GymvisualPNG/41151101-Cable-Overhead-Tricep-Extension-Straight-Bar-(male)_Upper-Arms_small.png"
"Cable Hammer Curl","Cable","brachioradialis","biceps, brachialis","https://apilyfta.com/static/GymvisualMP4/01651201-Cable-Hammer-Curl-(with-rope)-(male)_Forearms_.mp4","https://apilyfta.com/static/GymvisualPNG/01651101-Cable-Hammer-Curl-(with-rope)-m_Forearms_small.png"
"Hanging Leg Hip Raise","Body weight","rectus_abdominis","hip_adductors, iliopsoas, obliques, quadriceps, sartorius","https://apilyfta.com/static/GymvisualMP4/17641201-Hanging-Leg-Hip-Raise_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/17641101-Hanging-Leg-Hip-Raise_Waist_small.png"
"Lever Front Pulldown","Leverage machine","latissimus_dorsi","brachialis, brachioradialis, deltoids, infraspinatus, teres_major, teres_minor, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/05791201-Lever-Front-Pulldown_Back.mp4","https://apilyfta.com/static/GymvisualPNG/05791101-Lever-Front-Pulldown_Back_small.png"
"Lever Lying Chest Press","Leverage machine",,"deltoid_anterior, chest_clavicular_head, triceps","https://apilyfta.com/static/GymvisualMP4/10411201-Lever-Lying-Chest-Press-(plate-loaded)_Chest.mp4","https://apilyfta.com/static/GymvisualPNG/10411101-Lever-Lying-Chest-Press-(plate-loaded)_Chest_small.png"
"Cable Single Arm Triceps Pushdown (Rope Attachment)","Cable","triceps",,"https://apilyfta.com/static/GymvisualMP4/50331201-Cable-Single-Arm-Triceps-Pushdown-(rope-attachment.mp4","https://apilyfta.com/static/GymvisualPNG/50331101-Cable-Single-Arm-Triceps-Pushdown-(Rope-Attachment)_Upper-Arms_small.png"
"Cable one arm lat pulldown","Cable","latissimus_dorsi","brachialis, brachioradialis, deltoids, obliques, teres_major, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/12041201-Cable-one-arm-lat-pulldown_back.mp4","https://apilyfta.com/static/GymvisualPNG/12041101-Cable-one-arm-lat-pulldown_back_small.png"
"Seated Lateral Raise","Dumbbell","deltoid_lateral","deltoid_anterior, serratus_anterior","https://apilyfta.com/static/GymvisualMP4/03951201-Dumbbell-Seated-Lateral-Raise_Shoulders_.mp4","https://apilyfta.com/static/GymvisualPNG/03951101-Dumbbell-Seated-Lateral-Raise-II_shoulder_small.png"
"Cable Wide Neutral Grip PullDown","Cable","biceps, teres_major, latissimus_dorsi","deltoids, trapezius",,"https://apilyfta.com/static/GymvisualPNG/42171101-Cable-Wide-Neutral-Grip-PullDown_Back_small.png"
"Lever Seated Squat Calf Raise on Leg Press Machine","Leverage machine","gastrocnemius, quadriceps","gluteus_maximus, hamstrings, soleus","https://apilyfta.com/static/GymvisualMP4/13851201-Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine_Calves.mp4","https://apilyfta.com/static/GymvisualPNG/13851101-Lever-Seated-Squat-Calf-Raise-on-Leg-Press-Machine_Calves_small.png"
"Hip Thrust","Barbell","gluteus_maximus","hamstrings, quadriceps","https://apilyfta.com/static/GymvisualMP4/10601201-Barbell-Hip-Thrust_Hips.mp4","https://apilyfta.com/static/GymvisualPNG/10601101-Barbell-Hip-Thrust_Hips_small.png"
"Cable Overhead Triceps Extension","Cable","triceps",,"https://apilyfta.com/static/GymvisualMP4/01941201-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/01941101-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms_small.png"
"Cable Seated One Arm Alternate Row","Cable","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","biceps, brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/02141201-Cable-Seated-One-Arm-Alternate-Row_Back.mp4","https://apilyfta.com/static/GymvisualPNG/02141101-Cable-Seated-One-Arm-Alternate-Row_Back_small.png"
"Smith Bench Press","Smith machine","chest_clavicular_head","deltoid_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/07481201-Smith-Bench-Press_Chest-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/07481101-Smith-Bench-Press_Chest-FIX_small.png"
"Squat","Body weight","gluteus_maximus, quadriceps","soleus","https://apilyfta.com/static/GymvisualMP4/11971201-Bodyweight-Squat-(male)_Thighs-SIDE-POV_.mp4","https://apilyfta.com/static/GymvisualPNG/11971101-Squat-m_Thighs_small.png"
"Chin-Up","Body weight","latissimus_dorsi, biceps","brachialis, brachioradialis, deltoids, teres_major, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/13261201-Chin-Up_Back-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/13261101-Chin-Up_Back_small.png"
"Stationary Bike Run","Leverage machine","gluteus_maximus, quadriceps","hamstrings, gastrocnemius","https://apilyfta.com/static/GymvisualMP4/22791201-Stationary-Bike-Run-(version-4)_Cardio.mp4","https://apilyfta.com/static/GymvisualPNG/22791101-Stationary-Bike-Run-(version-4)_Cardio_small.png"
"Lever Seated Crunch","Leverage machine","rectus_abdominis","obliques","https://apilyfta.com/static/GymvisualMP4/14521201-Lever-Seated-Crunch_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/14521101-Lever-Seated-Crunch_Waist_small.png"
"One Arm Side Triceps Pushdown","Cable","triceps",,"https://apilyfta.com/static/GymvisualMP4/16091201-Cable-One-Arm-Side-Triceps-Pushdown_Upper-arms.mp4","https://apilyfta.com/static/GymvisualPNG/16091101-Cable-One-Arm-Side-Triceps-Pushdown_Upper-arms_small.png"
"Alternate Heel Touchers","Body weight","obliques",,"https://apilyfta.com/static/GymvisualMP4/00061201-Alternate-Heel-Touchers_waist.mp4","https://apilyfta.com/static/GymvisualPNG/00061101-Alternate-Heel-Touchers_waist-FIX_small.png"
"Reverse Curl","Barbell","brachioradialis","biceps, brachialis","https://apilyfta.com/static/GymvisualMP4/00801201-Barbell-Reverse-Curl_Forearm.mp4","https://apilyfta.com/static/GymvisualPNG/00801101-Barbell-Reverse-Curl_Forearm_small.png"
"Cable Middle Fly","Cable",,"biceps, deltoid_lateral, chest_clavicular_head","https://apilyfta.com/static/GymvisualMP4/01881201-Cable-Middle-Fly_Chest-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/01881101-Cable-Middle-Fly_Chest-FIX_small.png"
"Close Grip Preacher Curl","EZ Barbell","biceps","brachialis, iliopsoas, triceps","https://apilyfta.com/static/GymvisualMP4/16271201-EZ-Barbell-Close-Grip-Preacher-Curl_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/16271101-EZ-Barbell-Close-Grip-Preacher-Curl_Upper-Arms-FIX_small.png"
"Assisted Triceps Dip","Leverage machine","triceps","latissimus_dorsi, teres_major","https://apilyfta.com/static/GymvisualMP4/00191201-Assisted-Triceps-Dip-(kneeling)_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/00191101-Assisted-Triceps-Dip-(kneeling)_Upper-Arms_small.png"
"One Arm Lateral Raise","Cable","deltoid_lateral","deltoid_anterior, serratus_anterior","https://apilyfta.com/static/GymvisualMP4/01921201-Cable-One-Arm-Lateral-Raise_Shoulders.mp4","https://apilyfta.com/static/GymvisualPNG/01921101-Cable-One-Arm-Lateral-Raise_Shoulders_small.png"
"Lying Leg Raise","Body weight","rectus_abdominis","gluteus_maximus, iliopsoas, quadriceps, sartorius, tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/11631201-Lying-Leg-Raise_Waist-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/11631101-Lying-Leg-Raise_Waist_small.png"
"Cable Seated Chest Fly","Cable","chest_clavicular_head","biceps, deltoid_anterior","https://apilyfta.com/static/GymvisualMP4/38691201-Cable-Seated-Chest-Fly_Chest_.mp4","https://apilyfta.com/static/GymvisualPNG/38691101-Cable-Seated-Chest-Fly_Chest_small.png"
"Upright Row","Barbell","deltoid_lateral","biceps, brachialis, brachioradialis, deltoid_anterior, infraspinatus, serratus_anterior, teres_minor, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/01201201-Barbell-Upright-Row_shoulder.mp4","https://apilyfta.com/static/GymvisualPNG/01201101-Barbell-Upright-Row_shoulder_small.png"
"Revers Wrist Curl","Barbell","wrist_extensors",,"https://apilyfta.com/static/GymvisualMP4/00791201-Barbell-Revers-Wrist-Curl-II_Forearms.mp4","https://apilyfta.com/static/GymvisualPNG/00791101-Barbell-Revers-Wrist-Curl-II_Forearms_small.png"
"Dumbbell Rear Delt Fly","Dumbbell","deltoids","deltoid_lateral, infraspinatus, teres_minor, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/24871201-Dumbbell-Rear-Delt-Fly-(female)_Shoulders.mp4","https://apilyfta.com/static/GymvisualPNG/24871101-Dumbbell-Rear-Delt-Fly-(female)_Shoulders_small.png"
"Cable Leaning Lateral Raise","Cable","deltoid_lateral","deltoid_anterior",,"https://apilyfta.com/static/GymvisualPNG/38801101-Cable-Leaning-Lateral-Raise_Shoulders-FIX_small.png"
"Barbell Bench Press","Barbell",,"deltoid_anterior, chest_clavicular_head, triceps","https://apilyfta.com/static/GymvisualMP4/00251201-Barbell-Bench-Press_Chest-FIX2_.mp4","https://apilyfta.com/static/GymvisualPNG/00251101-Barbell-Bench-Press_Chest-FIX2_small.png"
"Lever Bent-over Row with V-bar","Leverage machine","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/32001201-Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back.mp4","https://apilyfta.com/static/GymvisualPNG/32001101-Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back_small.png"
"Dip on Floor with Chair","Body weight","triceps","deltoid_anterior, latissimus_dorsi","https://apilyfta.com/static/GymvisualMP4/34431201-Dip-on-Floor-with-Chair_Chest_.mp4","https://apilyfta.com/static/GymvisualPNG/34431101-Dip-on-Floor-with-Chair_Chest_small.png"
"Lying Triceps Extension","Dumbbell","triceps",,"https://apilyfta.com/static/GymvisualMP4/03511201-Dumbbell-Lying-Triceps-Extension_Upper-Arms.mp4","https://apilyfta.com/static/GymvisualPNG/03511101-Dumbbell-Lying-Triceps-Extension_Upper-Arms_small.png"
"Leg Raise Hip Lift","Body weight","iliopsoas, rectus_abdominis","hip_adductors, obliques, quadriceps, sartorius, tensor_fasciae_femoris","https://apilyfta.com/static/GymvisualMP4/18521201-Leg-Raise-Hip-Lift_Waist.mp4","https://apilyfta.com/static/GymvisualPNG/18521101-Leg-Raise-Hip-Lift_Waist_small.png"
"Lever Decline Chest Press","Leverage machine",,"deltoid_anterior, chest_clavicular_head, triceps","https://apilyfta.com/static/GymvisualMP4/13001201-Lever-Decline-Chest-Press_Chest-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/13001101-Lever-Decline-Chest-Press_Chest_small.png"
"Reverse-grip Straight Back Seated High Row","Cable","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis, deltoids","https://apilyfta.com/static/GymvisualMP4/02081201-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back.mp4","https://apilyfta.com/static/GymvisualPNG/02081101-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back-AFIX_small.png"
"Cable Unilateral Bicep Curl","Cable","biceps","brachialis, brachioradialis","https://apilyfta.com/static/GymvisualMP4/48381201-Cable-Unilateral-Bicep-Curl_Upper-Arms_.mp4","https://apilyfta.com/static/GymvisualPNG/48381101-Cable-Unilateral-Bicep-Curl_Upper-Arms_small.png"
"Arnold Press","Dumbbell","deltoid_anterior","deltoid_lateral, serratus_anterior, triceps","https://apilyfta.com/static/GymvisualMP4/02871201-Dumbbell-Arnold-Press-II_Shoulders.mp4","https://apilyfta.com/static/GymvisualPNG/02871101-Dumbbell-Arnold-Press-II_Shoulders_small.png"
"Incline Row","Dumbbell","infraspinatus, latissimus_dorsi, teres_major, teres_minor, trapezius, trapezius","brachialis, brachioradialis","https://apilyfta.com/static/GymvisualMP4/03271201-Dumbbell-Incline-Row_Back-FIX_.mp4","https://apilyfta.com/static/GymvisualPNG/03271101-Dumbbell-Incline-Row_Back_small.png"
"Cable Bar Lateral Pulldown","Cable","latissimus_dorsi","brachialis, brachioradialis, deltoids, infraspinatus, teres_major, teres_minor, trapezius, trapezius","https://apilyfta.com/static/GymvisualMP4/01501201-Cable-Bar-Lateral-Pulldown_Back.mp4","https://apilyfta.com/static/GymvisualPNG/01501101-Cable-Bar-Lateral-Pulldown_Back_small.png"
